molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,display_reference_Ha,display_RHF,display_FCI,display_unit
BeH2,1,1.1486075019376127,-0.1419308970542672,-15.540923032932644,-15.56937481979936,-0.028451786866716233,-28.451786866716233,-15.561352807782088,20.429774849443305,-8.022012017272928,mHa
BeH2,2,1.1583958396654932,-0.13214255932638674,-15.543875009728994,-15.572582679467391,-0.028707669738397,-28.707669738397,-15.561352807782088,17.477798053093352,-11.22987168530365,mHa
BeH2,3,1.1681841773933737,-0.12235422159850629,-15.546562811207462,-15.57553558495015,-0.028972773742687252,-28.972773742687252,-15.561352807782088,14.789996574625874,-14.182777168061378,mHa
BeH2,4,1.1779725151212543,-0.1125658838706256,-15.548995907703247,-15.578242966902218,-0.02924705919897086,-29.24705919897086,-15.561352807782088,12.356900078840383,-16.890159120130477,mHa
BeH2,5,1.1877608528491348,-0.10277754614274515,-15.551183418337654,-15.580713912360398,-0.02953049402274388,-29.53049402274388,-15.561352807782088,10.169389444433463,-19.361104578310417,mHa
BeH2,6,1.1975491905770153,-0.09298920841486469,-15.553134124895351,-15.582957178365035,-0.02982305346968417,-29.82305346968417,-15.561352807782088,8.218682886736772,-21.604370582947396,mHa
BeH2,7,1.2073375283048957,-0.08320087068698423,-15.554856485086692,-15.584981204972516,-0.030124719885824547,-30.124719885824547,-15.561352807782088,6.496322695396017,-23.62839719042853,mHa
BeH2,8,1.2171258660327762,-0.07341253295910377,-15.556358645231645,-15.586794127695669,-0.030435482464023167,-30.435482464023167,-15.561352807782088,4.9941625504423826,-25.441319913580784,mHa
BeH2,9,1.2269142037606566,-0.06362419523122331,-15.557648452399565,-15.588403789406224,-0.030755337006658223,-30.755337006658223,-15.561352807782088,3.7043553825224507,-27.050981624135773,mHa
BeH2,10,1.2367025414885373,-0.05383585750334263,-15.558733466037383,-15.589817751731854,-0.031084285694470637,-31.084285694470637,-15.561352807782088,2.619341744704684,-28.464943949765953,mHa
BeH2,11,1.2464908792164178,-0.044047519775462174,-15.559620969115391,-15.591043305977244,-0.03142233686185314,-31.42233686185314,-15.561352807782088,1.7318386666964614,-29.690498195156678,mHa
BeH2,12,1.2562792169442982,-0.034259182047581715,-15.560317978819171,-15.592087483597453,-0.031769504778282,-31.769504778282,-15.561352807782088,1.034828962916734,-30.734675815365264,mHa
BeH2,13,1.2660675546721787,-0.024470844319701257,-15.56083125681183,-15.592957066247958,-0.03212580943612764,-32.12580943612764,-15.561352807782088,0.5215509702569676,-31.60425846587067,mHa
BeH2,14,1.2758558924000591,-0.014682506591820799,-15.561167319090728,-15.593658595435613,-0.03249127634488502,-32.49127634488502,-15.561352807782088,0.1854886913594811,-32.30578765352554,mHa
BeH2,15,1.2856442301279396,-0.00489416886394034,-15.561332445460108,-15.5941983817916,-0.032865936331491596,-32.865936331491596,-15.561352807782088,0.020362321979661147,-32.845574009511935,mHa
BeH2,16,1.2954325678558203,0.00489416886394034,-15.561332688638943,-15.594582513986143,-0.0332498253472,-33.2498253472,-15.561352807782088,0.020119143144370355,-33.22970620405563,mHa
BeH2,17,1.3052209055837007,0.014682506591820799,-15.561173883022258,-15.59481686730281,-0.03364298428055257,-33.64298428055257,-15.561352807782088,0.17892475982961287,-33.464059520722955,mHa
BeH2,18,1.3150092433115812,0.024470844319701257,-15.560861653112138,-15.594907111888741,-0.034045458776603255,-34.045458776603255,-15.561352807782088,0.49115466994997803,-33.55430410665328,mHa
BeH2,19,1.3247975810394617,0.034259182047581715,-15.560401421633568,-15.594858720695846,-0.03445729906227868,-34.45729906227868,-15.561352807782088,0.9513861485199726,-33.505912913758706,mHa
BeH2,20,1.3345859187673421,0.044047519775462174,-15.559798417348649,-15.59467697712652,-0.03487855977787113,-34.87855977787113,-15.561352807782088,1.554390433438968,-33.324169344432164,mHa
BeH2,21,1.3443742564952226,0.05383585750334263,-15.559057682582184,-15.594366982396657,-0.035309299814473505,-35.309299814473505,-15.561352807782088,2.2951251999039357,-33.01417461456957,mHa
BeH2,22,1.3541625942231033,0.06362419523122331,-15.558184080469477,-15.593933662626757,-0.03574958215727975,-35.74958215727975,-15.561352807782088,3.168727312610642,-32.580854844669105,mHa
BeH2,23,1.3639509319509837,0.07341253295910377,-15.557182301937354,-15.593381775672109,-0.036199473734754406,-36.199473734754406,-15.561352807782088,4.170505844733441,-32.028967890020965,mHa
BeH2,24,1.3737392696788642,0.08320087068698423,-15.556056872428183,-15.592715917701561,-0.036659045273378155,-36.659045273378155,-15.561352807782088,5.295935353904824,-31.36310991947333,mHa
BeH2,25,1.3835276074067446,0.09298920841486469,-15.55481215837598,-15.59194052953395,-0.0371283711579693,-37.1283711579693,-15.561352807782088,6.54064940610688,-30.587721751862418,mHa
BeH2,26,1.393315945134625,0.10277754614274515,-15.553452373442582,-15.59105990274001,-0.0376075292974285,-37.6075292974285,-15.561352807782088,7.900434339505935,-29.707094957922564,mHa
BeH2,27,1.4031042828625058,0.11256588387062583,-15.551981584522183,-15.590078185517962,-0.03809660099577883,-38.09660099577883,-15.561352807782088,9.371223259904582,-28.725377735874247,mHa
BeH2,28,1.4128926205903862,0.12235422159850629,-15.550403717521613,-15.588999388349865,-0.03859567082825244,-38.59567082825244,-15.561352807782088,10.949090260474748,-27.64658056777769,mHa
BeH2,29,1.4226809583182667,0.13214255932638674,-15.548722562923551,-15.58782738944608,-0.03910482652252867,-39.10482652252867,-15.561352807782088,12.630244858536699,-26.47458166399197,mHa
BeH2,30,1.4324692960461471,0.1419308970542672,-15.546941781138694,-15.58656593998329,-0.039624158844596025,-39.624158844596025,-15.561352807782088,14.41102664339411,-25.213132201201915,mHa
NH3,1,0.9376455019630171,-0.09487706449101341,-55.42410430536252,-55.479847205219116,-0.05574289985659675,-55.74289985659675,-55.45541977880504,31.315473442518282,-24.427426414078468,mHa
NH3,2,0.9441887477899835,-0.08833381866404699,-55.428621906610104,-55.485192272076816,-0.05657036546671179,-56.57036546671179,-55.45541977880504,26.797872194933348,-29.772493271778444,mHa
NH3,3,0.95073199361695,-0.08179057283708047,-55.432736810400364,-55.490146125839004,-0.05740931543864036,-57.40931543864036,-55.45541977880504,22.68296840467343,-34.72634703396693,mHa
NH3,4,0.9572752394439165,-0.07524732701011405,-55.43646323144508,-55.49472317345962,-0.0582599420145371,-58.2599420145371,-55.45541977880504,18.956547359955778,-39.303394654581325,mHa
NH3,5,0.9638184852708829,-0.06870408118314764,-55.43981485006998,-55.498937289707946,-0.05912243963796726,-59.12243963796726,-55.45541977880504,15.604928735058365,-43.517510902908896,mHa
NH3,6,0.9703617310978493,-0.06216083535618122,-55.442804835663395,-55.50280184055054,-0.0599970048871441,-59.9970048871441,-55.45541977880504,12.614943141642243,-47.38206174550186,mHa
NH3,7,0.9769049769248158,-0.055617589529214695,-55.445445869095266,-55.50632970550218,-0.06088383640691575,-60.88383640691575,-55.45541977880504,9.973909709771078,-50.90992669714467,mHa
NH3,8,0.9834482227517822,-0.04907434370224828,-55.44775016414038,-55.50953329897651,-0.06178313483612641,-61.78313483612641,-55.45541977880504,7.669614664656876,-54.11352017146953,mHa
NH3,9,0.9899914685787486,-0.042531097875281865,-55.44972948793889,-55.51242459067495,-0.0626951027360576,-62.695102736057606,-55.45541977880504,5.690290866148473,-57.00481186990913,mHa
NH3,10,0.9965347144057151,-0.03598785204831545,-55.451395180527896,-55.51501512504181,-0.06361994451391695,-63.61994451391695,-55.45541977880504,4.024598277140967,-59.59534623677598,mHa
