molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FG,30,test,15,178,0.0008843645695952344,0.8843645695952344,0.0011622565274406434,1.1622565274406433,0.002492144068300034,2.4921440683000338,0.004390805619864824,4.390805619864824
CO,FG,31,train,15,190,0.0012901173037963814,1.2901173037963813,0.0018805960149625644,1.8805960149625645,0.005373374226521094,5.3733742265210935,0.008908338623449738,8.908338623449739
CO,FG,31,test,15,190,0.0009880973353087888,0.9880973353087888,0.0013261349326766218,1.3261349326766219,0.0032244764625962985,3.2244764625962983,0.005037916814997295,5.0379168149972955
CO,FE,1,train,15,474,0.0019455073267928206,1.9455073267928207,0.002337655882080887,2.3376558820808873,0.0049651380917632715,4.965138091763271,0.009013238701347431,9.013238701347431
CO,FE,1,test,15,474,0.0019277041034598394,1.9277041034598394,0.002412602991900278,2.412602991900278,0.006375989197138027,6.3759891971380265,0.008537470790451168,8.537470790451168
CO,FE,2,train,15,206,0.0012661299539216539,1.266129953921654,0.0018713782410502064,1.8713782410502064,0.005081201725012974,5.081201725012974,0.006430804472488394,6.4308044724883935
CO,FE,2,test,15,206,0.001593979050434475,1.593979050434475,0.0022742487630872787,2.2742487630872787,0.0065823874180309105,6.58238741803091,0.00801896422620943,8.01896422620943
CO,FE,3,train,15,473,0.0019186612975715018,1.9186612975715018,0.0023325041943991843,2.3325041943991844,0.004825992020721759,4.825992020721759,0.009570526322024875,9.570526322024875
CO,FE,3,test,15,473,0.0017753743138584244,1.7753743138584244,0.0023176942784315074,2.3176942784315075,0.006217341460622083,6.217341460622084,0.008758347528523613,8.758347528523613
CO,FE,4,train,15,495,0.0024174445657531942,2.417444565753194,0.0031175001158111407,3.117500115811141,0.007250834852173704,7.250834852173704,0.012115711925418021,12.11571192541802
CO,FE,4,test,15,495,0.002844691626018281,2.844691626018281,0.003590817043166468,3.5908170431664677,0.008926326998409395,8.926326998409396,0.013880057416970293,13.880057416970292
CO,FE,5,train,15,490,0.001369686710955608,1.369686710955608,0.0019462347162063614,1.9462347162063613,0.00501774452320064,5.017744523200641,0.007023960900002096,7.023960900002097
CO,FE,5,test,15,490,0.001584482315166639,1.584482315166639,0.0022582153388754364,2.2582153388754365,0.006498900817744457,6.498900817744458,0.00789201601883624,7.89201601883624
CO,FE,6,train,15,453,0.001072067188441328,1.072067188441328,0.0014198781780121604,1.4198781780121603,0.0035627524582877157,3.562752458287716,0.005136859438187535,5.136859438187535
CO,FE,6,test,15,453,0.0013292509744620568,1.3292509744620569,0.0017849035470895794,1.7849035470895793,0.004996910171966268,4.996910171966268,0.006437370398118147,6.437370398118148
CO,FE,7,train,15,499,0.001498525201174289,1.498525201174289,0.001939769687519662,1.939769687519662,0.004572254077260918,4.572254077260918,0.008404789196437945,8.404789196437946
CO,FE,7,test,15,499,0.0014492111920669385,1.4492111920669384,0.0020187658228974633,2.018765822897463,0.005889439349694964,5.889439349694964,0.007106948391342988,7.106948391342987
CO,FE,8,train,15,492,0.00168081207704484,1.68081207704484,0.002129179081944478,2.129179081944478,0.004822405730422252,4.822405730422252,0.008303967844979554,8.303967844979553
CO,FE,8,test,15,492,0.0016797793544541676,1.6797793544541675,0.00226820687270588,2.2682068727058797,0.006274708976066662,6.274708976066662,0.008422124097951234,8.422124097951233
CO,FE,9,train,15,497,0.001956398585009426,1.956398585009426,0.0023708720915094445,2.3708720915094443,0.005403309157766906,5.4033091577669055,0.009143628253895808,9.143628253895809
CO,FE,9,test,15,497,0.0019526335901173882,1.9526335901173881,0.0025379103987730823,2.537910398773082,0.006893647650619283,6.893647650619283,0.00913765950533818,9.137659505338181
CO,FE,10,train,15,495,0.0010055279098969436,1.0055279098969436,0.0013238615069082994,1.3238615069082993,0.0035009960007323093,3.500996000732309,0.005186767792326047,5.186767792326047
CO,FE,10,test,15,495,0.0011683869092129742,1.1683869092129742,0.0017075508682962875,1.7075508682962874,0.004928363845202149,4.928363845202149,0.006447308680627317,6.447308680627318
CO,FE,11,train,15,441,0.0011553660370939153,1.1553660370939154,0.0015975774005390928,1.5975774005390928,0.003921849485556711,3.921849485556711,0.005704806856808353,5.704806856808354
CO,FE,11,test,15,441,0.0014048668732486447,1.4048668732486447,0.0019842997743485325,1.9842997743485324,0.005359430135735865,5.359430135735865,0.007132469961177196,7.132469961177196
CO,FE,12,train,15,318,0.0010229793376064704,1.0229793376064704,0.0013943164202166827,1.3943164202166827,0.003800911917919314,3.800911917919314,0.005217845017960909,5.21784501796091
CO,FE,12,test,15,318,0.0012360792945341759,1.2360792945341759,0.0018036562107461075,1.8036562107461074,0.00522910710809682,5.2291071080968194,0.006481553916099281,6.481553916099281
CO,FE,13,train,15,262,0.0009754291848133404,0.9754291848133404,0.001370514647346103,1.370514647346103,0.0037316728418746725,3.7316728418746727,0.005268013946052502,5.268013946052502
CO,FE,13,test,15,262,0.001209556908871261,1.2095569088712612,0.0017753738719761324,1.7753738719761323,0.005150476156035866,5.150476156035866,0.006580399665597231,6.5803996655972306
CO,FE,14,train,15,498,0.0012671950299067507,1.2671950299067507,0.001775187708323812,1.7751877083238121,0.004031667934522226,4.031667934522226,0.006844871056407159,6.844871056407159
CO,FE,14,test,15,498,0.0013653023837595323,1.3653023837595322,0.0019219647708668052,1.9219647708668053,0.005436435335694073,5.436435335694073,0.007065846292791639,7.065846292791639
CO,FE,15,train,15,495,0.0012950891572063362,1.295089157206336,0.0016421344452630321,1.6421344452630322,0.004114456258570459,4.114456258570459,0.006275105157089733,6.275105157089733
CO,FE,15,test,15,495,0.0014107299239680654,1.4107299239680653,0.0018916673195891103,1.8916673195891103,0.005432493009622258,5.432493009622258,0.006912830836362405,6.912830836362405
CO,FE,16,train,15,485,0.001853201201532136,1.8532012015321362,0.0023064732754859946,2.3064732754859945,0.004810465615189552,4.8104656151895515,0.00934175934959347,9.34175934959347
CO,FE,16,test,15,485,0.0017839115133256368,1.7839115133256367,0.0023335500057137123,2.3335500057137124,0.006271543941212487,6.271543941212487,0.009149577028515293,9.149577028515294
CO,FE,17,train,15,329,0.0011129131134719296,1.1129131134719297,0.0016951672352688734,1.6951672352688734,0.004714092246023094,4.714092246023094,0.005949114334874495,5.949114334874494
CO,FE,17,test,15,329,0.0014648039195945281,1.4648039195945282,0.0021449209295441546,2.1449209295441545,0.006172185960539506,6.1721859605395055,0.007455241935855783,7.455241935855783
CO,FE,18,train,15,498,0.001269731992288318,1.269731992288318,0.0017310799617998517,1.7310799617998518,0.0041051498589178,4.1051498589178,0.0069621688766988155,6.962168876698815
CO,FE,18,test,15,498,0.0013466316002820852,1.346631600282085,0.0018941518131053094,1.8941518131053094,0.0055201752312264984,5.5201752312264984,0.007217198431178601,7.217198431178601
CO,FE,19,train,15,361,0.0011624878413799777,1.1624878413799777,0.001708651355469818,1.708651355469818,0.004605640494446006,4.605640494446006,0.006051186847697593,6.0511868476975925
CO,FE,19,test,15,361,0.0015071452679320187,1.5071452679320188,0.0021485810029588256,2.1485810029588257,0.006099314100264319,6.099314100264319,0.007538621044894833,7.538621044894834
CO,FE,20,train,15,498,0.0020163001815993436,2.0163001815993438,0.0024572253534601873,2.457225353460187,0.00564726200581292,5.6472620058129195,0.009325038875359737,9.325038875359738
CO,FE,20,test,15,498,0.0020560105757739125,2.0560105757739127,0.002665055764250669,2.665055764250669,0.007161631434356608,7.161631434356607,0.010151423771649848,10.151423771649847
CO,FE,21,train,15,499,0.0012335096806342706,1.2335096806342705,0.0016380398912649113,1.6380398912649112,0.004092089622213246,4.092089622213246,0.006639257735080395,6.639257735080395
CO,FE,21,test,15,499,0.0013102037373660057,1.3102037373660058,0.0018529612797749228,1.8529612797749229,0.005521108660023616,5.521108660023616,0.0072353216696496025,7.235321669649602
CO,FE,22,train,15,488,0.001337096817622747,1.337096817622747,0.0017924350702813684,1.7924350702813683,0.004299264782096843,4.299264782096842,0.006374407914462629,6.374407914462629
CO,FE,22,test,15,488,0.0015817158241624469,1.581715824162447,0.002048939114683387,2.048939114683387,0.005198471730216869,5.19847173021687,0.007148401522753145,7.148401522753145
CO,FE,23,train,15,496,0.0019412379082289386,1.9412379082289386,0.0023575383585412698,2.35753835854127,0.004950809710807302,4.950809710807302,0.009154133367467204,9.154133367467205
CO,FE,23,test,15,496,0.0018790239903348864,1.8790239903348864,0.002423395645348495,2.4233956453484953,0.006411157039281079,6.411157039281079,0.008861432306922656,8.861432306922657
CO,FE,24,train,15,469,0.002044799747412392,2.044799747412392,0.0024701619959418275,2.4701619959418277,0.005076486277435233,5.076486277435233,0.009821113588858621,9.821113588858621
CO,FE,24,test,15,469,0.001950943983984621,1.950943983984621,0.002483942525923341,2.483942525923341,0.006529383351362744,6.529383351362744,0.008890580229410944,8.890580229410944
CO,FE,25,train,15,492,0.001600531997430138,1.600531997430138,0.002041022284045608,2.0410222840456083,0.005309874848858559,5.309874848858559,0.007952122053268146,7.952122053268146
CO,FE,25,test,15,492,0.0018569187679558295,1.8569187679558294,0.0024883134651055407,2.4883134651055405,0.00704720235624029,7.047202356240289,0.009727525449064106,9.727525449064107
CO,FE,26,train,15,423,0.0009788470068854656,0.9788470068854657,0.0012518734334458353,1.2518734334458355,0.002936652188203326,2.936652188203326,0.0048272787065348766,4.827278706534877
CO,FE,26,test,15,423,0.00118776356617288,1.18776356617288,0.001597598859411247,1.597598859411247,0.004328107376997931,4.328107376997931,0.006103782068653946,6.1037820686539455
CO,FE,27,train,15,500,0.0014880179949685287,1.4880179949685286,0.0019047611911733365,1.9047611911733366,0.004096709135015669,4.0967091350156695,0.007525317301432327,7.525317301432327
CO,FE,27,test,15,500,0.0014783732063315068,1.478373206331507,0.001990910765836182,1.990910765836182,0.005538177053041438,5.538177053041437,0.007861402843207632,7.861402843207632
CO,FE,28,train,15,500,0.0007919748638092898,0.7919748638092898,0.001179211600512618,1.179211600512618,0.003494796809742573,3.494796809742573,0.004586782365492537,4.586782365492537
