molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB2_prime,16,test,15,467,train,0.0005934620320150833,0.0006168292871693626,0.6168292871693626,0.0007740073204409368,0.7740073204409368,0.0019003673410503963,1.9003673410503963,0.0025186353035633324,2.5186353035633324,1
CO,MB2_prime,17,train,15,499,train,0.0005175345537589674,0.0005175345537589674,0.5175345537589674,0.0006267362228679652,0.6267362228679653,0.0013290480804720728,1.3290480804720728,0.001923321122407784,1.923321122407784,1
CO,MB2_prime,17,test,15,499,train,0.0005175345537589674,0.0005442366811837259,0.5442366811837259,0.0006683804697580627,0.6683804697580628,0.0016229344347123698,1.6229344347123698,0.002211049299665757,2.211049299665757,1
CO,MB2_prime,18,train,15,469,train,0.0006177475442855009,0.0006177475442855009,0.6177475442855008,0.0007620294008254493,0.7620294008254493,0.0016754917867686236,1.6754917867686236,0.0023049207713131126,2.3049207713131126,1
CO,MB2_prime,18,test,15,469,train,0.0006177475442855009,0.000639618054736681,0.639618054736681,0.0008120320709482,0.8120320709482,0.0019999343633359534,1.9999343633359534,0.002628980894751942,2.628980894751942,1
CO,MB2_prime,19,train,15,480,train,0.0005683396080919759,0.0005683396080919759,0.5683396080919759,0.0006923678558383729,0.6923678558383729,0.0014805028161558043,1.4805028161558043,0.002097128315820429,2.097128315820429,1
CO,MB2_prime,19,test,15,480,train,0.0005683396080919759,0.0005916295709050242,0.5916295709050242,0.0007348983040865257,0.7348983040865257,0.0017866035297929017,1.7866035297929017,0.0023954524823017465,2.3954524823017467,1
CO,MB2_prime,20,train,15,499,train,0.0019210346337928859,0.0019210346337928859,1.9210346337928859,0.0023960198702780416,2.3960198702780415,0.005332690692342934,5.3326906923429345,0.007215248852506739,7.21524885250674,1
CO,MB2_prime,20,test,15,499,train,0.0019210346337928859,0.0020635035034155757,2.0635035034155758,0.0026182677681133824,2.6182677681133826,0.005835660550656124,5.835660550656124,0.007678675101532306,7.678675101532306,1
CO,MB2_prime,21,train,15,371,train,0.00026259529177230696,0.00026259529177230696,0.26259529177230695,0.0004018328834634506,0.4018328834634506,0.001222675242176341,1.222675242176341,0.0015033757397650005,1.5033757397650005,1
