molecule,geom_index,bond_length_angstrom,E_RHF_Ha,E_FCI_frozen_core_Ha,E_corr_Ha,E_corr_mHa,E_corr_over_1p6_mHa,RHF_within_1p6_mHa_of_FCI
HF,12,0.9289675701166169,-98.57188952592935,-98.59863582671886,-0.02674630078951168,-26.74630078951168,-16.7164379934448,False
HF,13,0.9395656215139702,-98.57250969900664,-98.60009463879416,-0.027584939787516305,-27.584939787516305,-17.24058736719769,False
HF,14,0.9501636729113234,-98.57281060491054,-98.60125457835476,-0.02844397344421168,-28.44397344421168,-17.7774834026323,False
HF,15,0.9607617243086766,-98.57281135779867,-98.6021350357918,-0.0293236779931334,-29.3236779931334,-18.327298745708376,False
HF,16,0.9713597757060298,-98.57253003450964,-98.60275435544986,-0.03022432094022065,-30.22432094022065,-18.890200587637906,False
HF,17,0.9819578271033831,-98.57198373925344,-98.60312989986517,-0.03114616061172626,-31.14616061172626,-19.466350382328912,False
HF,18,0.9925558785007363,-98.57118866157383,-98.60327810731735,-0.032089445743523015,-32.089445743523015,-20.055903589701884,False
HF,19,1.0031539298980896,-98.57016012844346,-98.60321454355983,-0.03305441511636786,-33.05441511636786,-20.659009447729915,False
HF,20,1.0137519812954428,-98.56891265126995,-98.60295394851542,-0.034041297245465785,-34.041297245465785,-21.275810778416115,False
HF,21,1.0243500326927961,-98.56745996852575,-98.6025102786505,-0.035050310124745465,-35.050310124745465,-21.906443827965916,False
HF,22,1.0349480840901493,-98.56581508462875,-98.60189674566445,-0.03608166103569488,-36.08166103569488,-22.5510381473093,False
HF,23,1.0455461354875024,-98.56399030564549,-98.60112585205925,-0.03713554641376504,-37.13554641376504,-23.20971650860315,False
HF,24,1.0561441868848558,-98.56199727230678,-98.60020942408431,-0.0382121517775289,-38.2121517775289,-23.882594860955564,False
HF,25,1.066742238282209,-98.55984699077402,-98.59915864249157,-0.03931165171755424,-39.31165171755424,-24.5697823234714,False
HF,26,1.0773402896795623,-98.5575498615318,-98.59798407147,-0.040434209938197796,-40.434209938197796,-25.271381211373622,False
HF,27,1.0879383410769154,-98.55511570672488,-98.59669568607575,-0.0415799793508711,-41.5799793508711,-25.987487094294437,False
HF,28,1.0985363924742688,-98.55255379621205,-98.59530289842183,-0.042749102209782563,-42.74910220978256,-26.718188881114102,False
HF,29,1.109134443871622,-98.5498728725585,-98.59381458284007,-0.043941710281572455,-43.941710281572455,-27.463568925982784,False
H2S,0,1.2030701945616575,-394.2844812416463,-394.3176491376459,-0.03316789599961112,-33.16789599961112,-20.72993499975695,False
H2S,1,1.2117312755464458,-394.2884199154658,-394.3221033551646,-0.03368343969879106,-33.68343969879106,-21.052149811744414,False
H2S,2,1.220392356531234,-394.292002884842,-394.3262131937927,-0.03421030895066224,-34.21030895066224,-21.3814430941639,False
H2S,3,1.2290534375160223,-394.29524331095865,-394.3299919380525,-0.03474862709384752,-34.74862709384752,-21.7178919336547,False
H2S,4,1.2377145185008105,-394.29815388151144,-394.3334524009024,-0.03529851939094897,-35.29851939094897,-22.061574619343105,False
